Diet Plan ID,Goal,BMI Range,BMI Category,Maintenance Calorie Range,Diet Preference,Meal,Option,Quantity,Calories (kcal),Protein (g),Carbs (g),Fats (g),Fiber (g)
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Dinner,Grilled paneer + Buttermilk,2 pieces,410,22,48,12,6
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Dinner,Stuffed multigrain paratha (paneer/methi),1 stuffed paratha,430,19,53,9,7
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Dinner,Bajra roti with vegetable curry,1 roti,440,21,57,11,8
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Pre-Bed Snack,Pumpkin seeds,2 tbsp,100,5,10,6,2
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Pre-Bed Snack,Warm turmeric milk,1 glass,120,8,15,4,3
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Pre-Bed Snack,Greek yogurt with cinnamon,1 small bowl,150,10,18,5,4
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Pre-Bed Snack,Almonds with dates,10 almonds + 2 dates,140,7,14,3,3
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Pre-Bed Snack,Chamomile tea with flaxseeds,1 cup,130,6,12,2,2
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Breakfast,Oats with almond milk and flaxseeds,1 bowl,350,12,45,10,8
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Breakfast,Besan chilla with curd,2 cheelas,320,15,40,8,7
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Breakfast,Quinoa upma with veggies,1 bowl,310,10,42,6,6
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Breakfast,Moong dal dosa with chutney,2 small dosas,340,14,48,7,7
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Breakfast,Ragi porridge with nuts,1 bowl,360,16,50,9,9
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Mid-Morning Snack,Greek yogurt with chia seeds,1 cup,180,10,15,5,3
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Mid-Morning Snack,Handful of nuts + 1 apple,1 handful + 1 apple,200,6,25,10,4
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Mid-Morning Snack,Paneer salad,1 small bowl,220,14,20,8,5
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Mid-Morning Snack,Hummus with whole wheat pita,1 serving,190,12,18,6,5
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Mid-Morning Snack,Banana with peanut butter,1 medium banana + 1 tbsp PB,210,8,22,4,6
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Lunch,"Dal, Brown rice, Curd, Salad",1 bowl,450,18,60,12,8
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Lunch,Multigrain roti + Soya chunk curry,2 rotis,480,20,65,14,7
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Lunch,Chickpea salad + Quinoa pulao,1 bowl,460,22,55,10,6
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Lunch,Vegetable stir-fry + Brown rice,1 plate,470,21,58,11,8
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Lunch,Millet khichdi + Yogurt,1 bowl,490,23,62,13,9
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Evening Snack,Green tea + Roasted makhana,1 cup + 1 handful,150,4,20,2,4
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Evening Snack,Fruit smoothie with almond milk,1 glass,200,8,35,5,5
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Evening Snack,Sprout chaat with lemon,1 bowl,180,6,25,3,4
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Evening Snack,Roasted chana + Buttermilk,1 handful + 1 glass,170,9,28,4,3
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Evening Snack,Fox nuts with black salt,1 handful,160,7,30,3,5
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Dinner,Vegetable soup + Stir-fried tofu,1 bowl,400,20,50,10,6
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Dinner,Moong dal khichdi + Steamed veggies,1 bowl,420,18,55,8,7
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Dinner,Grilled paneer + Buttermilk,2 pieces,410,22,48,12,6
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Dinner,Stuffed multigrain paratha,1 paratha,430,19,53,9,7
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Dinner,Bajra roti with curry,1 roti,440,21,57,11,8
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Pre-Bed Snack,Pumpkin seeds,2 tbsp,100,5,10,6,2
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Pre-Bed Snack,Warm turmeric milk,1 glass,120,8,15,4,3
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Pre-Bed Snack,Greek yogurt with cinnamon,1 small bowl,150,10,18,5,4
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Pre-Bed Snack,Almonds with dates,10 almonds + 2 dates,140,7,14,7,3
2,Weight Loss,18.5 - 24.9,Normal weight,~2200-2500 kcal,Vegetarian,Pre-Bed Snack,Chamomile tea with flaxseeds,1 cup,130,6,12,3,2
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Breakfast,Oats with almond milk and flaxseeds,1 bowl,350,12,45,10,8
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Breakfast,Besan chilla with curd,2 cheelas,320,15,40,8,7
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Breakfast,Quinoa upma with veggies,1 bowl,310,10,42,6,6
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Breakfast,Moong dal dosa with chutney,2 small dosas,340,14,48,7,7
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Breakfast,Ragi porridge with nuts,1 bowl,360,16,50,9,9
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Mid-Morning Snack,Greek yogurt with chia seeds,1 cup,180,10,15,5,3
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Mid-Morning Snack,Handful of nuts + 1 apple,1 handful + 1 apple,200,6,25,10,4
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Mid-Morning Snack,Paneer salad,1 small bowl,220,14,20,8,5
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Mid-Morning Snack,Hummus with whole wheat pita,1 serving,190,12,18,6,5
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Mid-Morning Snack,Banana with peanut butter,1 medium banana + 1 tbsp PB,210,8,22,4,6
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Lunch,"Dal, Brown rice, Curd, Salad",1 bowl,450,18,60,12,8
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Lunch,Multigrain roti + Soya chunk curry,2 rotis,480,20,65,14,7
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Lunch,Chickpea salad + Quinoa pulao,1 bowl,460,22,55,10,6
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Lunch,Vegetable stir-fry + Brown rice,1 plate,470,21,58,11,8
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Lunch,Millet khichdi + Yogurt,1 bowl,490,23,62,13,9
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Evening Snack,Green tea + Roasted makhana,1 cup + 1 handful,150,4,20,2,4
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Evening Snack,Fruit smoothie with almond milk,1 glass,200,8,35,5,5
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Evening Snack,Sprout chaat with lemon,1 bowl,180,6,25,3,4
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Evening Snack,Roasted chana + Buttermilk,1 handful + 1 glass,170,9,28,4,3
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Evening Snack,Fox nuts with black salt,1 handful,160,7,30,3,5
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Dinner,Vegetable soup + Stir-fried tofu,1 bowl,400,20,50,10,6
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Dinner,Moong dal khichdi + Steamed veggies,1 bowl,420,18,55,8,7
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Dinner,Grilled paneer + Buttermilk,2 pieces,410,22,48,12,6
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Dinner,Stuffed multigrain paratha,1 paratha,430,19,53,9,7
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Dinner,Bajra roti with curry,1 roti,440,21,57,11,8
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Pre-Bed Snack,Pumpkin seeds,2 tbsp,100,5,10,6,2
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Pre-Bed Snack,Warm turmeric milk,1 glass,120,8,15,4,3
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Pre-Bed Snack,Greek yogurt with cinnamon,1 small bowl,150,10,18,5,4
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Pre-Bed Snack,Almonds with dates,10 almonds + 2 dates,140,7,14,7,3
3,Weight Loss,25 - 29.9,Overweight,~2400-2700 kcal,Vegetarian,Pre-Bed Snack,Chamomile tea with flaxseeds,1 cup,130,6,12,3,2
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Breakfast,Oats with almond milk and flaxseeds,1 bowl,350,12,45,10,8
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Breakfast,Besan chilla with curd,2 cheelas,320,15,40,8,7
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Breakfast,Quinoa upma with veggies,1 bowl,310,10,42,6,6
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Breakfast,Moong dal dosa with chutney,2 small dosas,340,14,48,7,7
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Breakfast,Ragi porridge with nuts,1 bowl,360,16,50,9,9
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Mid-Morning Snack,Greek yogurt with chia seeds,1 cup,180,10,15,5,3
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Mid-Morning Snack,Handful of nuts + 1 apple,1 handful + 1 apple,200,6,25,10,4
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Mid-Morning Snack,Paneer salad,1 small bowl,220,14,20,8,5
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Mid-Morning Snack,Hummus with whole wheat pita,1 serving,190,12,18,6,5
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Mid-Morning Snack,Banana with peanut butter,1 medium banana + 1 tbsp PB,210,8,22,4,6
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Lunch,"Dal, Brown rice, Curd, Salad",1 bowl,450,18,60,12,8
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Lunch,Multigrain roti + Soya chunk curry,2 rotis,480,20,65,14,7
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Lunch,Chickpea salad + Quinoa pulao,1 bowl,460,22,55,10,6
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Lunch,Vegetable stir-fry + Brown rice,1 plate,470,21,58,11,8
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Lunch,Millet khichdi + Yogurt,1 bowl,490,23,62,13,9
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Evening Snack,Green tea + Roasted makhana,1 cup + 1 handful,150,4,20,2,4
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Evening Snack,Fruit smoothie with almond milk,1 glass,200,8,35,5,5
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Evening Snack,Sprout chaat with lemon,1 bowl,180,6,25,3,4
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Evening Snack,Roasted chana + Buttermilk,1 handful + 1 glass,170,9,28,4,3
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Evening Snack,Fox nuts with black salt,1 handful,160,7,30,3,5
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Dinner,Vegetable soup + Stir-fried tofu,1 bowl,400,20,50,10,6
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Dinner,Moong dal khichdi + Steamed veggies,1 bowl,420,18,55,8,7
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Dinner,Grilled paneer + Buttermilk,2 pieces,410,22,48,12,6
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Dinner,Stuffed multigrain paratha,1 paratha,430,19,53,9,7
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Dinner,Bajra roti with curry,1 roti,440,21,57,11,8
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Pre-Bed Snack,Pumpkin seeds,2 tbsp,100,5,10,6,2
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Pre-Bed Snack,Warm turmeric milk,1 glass,120,8,15,4,3
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Pre-Bed Snack,Greek yogurt with cinnamon,1 small bowl,150,10,18,5,4
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Pre-Bed Snack,Almonds with dates,10 almonds + 2 dates,140,7,14,7,3
4,Weight Loss,30 - 34.9,Obesity Class 1 ,~2600-2900 kcal,Vegetarian,Pre-Bed Snack,Chamomile tea with flaxseeds,1 cup,130,6,12,3,2
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Breakfast,Oats with almond milk and flaxseeds,1 bowl,350,12,45,10,8
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Breakfast,Besan chilla with curd,2 cheelas,320,15,40,8,7
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Breakfast,Quinoa upma with veggies,1 bowl,310,10,42,6,6
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Breakfast,Moong dal dosa with chutney,2 small dosas,340,14,48,7,7
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Breakfast,Ragi porridge with nuts,1 bowl,360,16,50,9,9
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Mid-Morning Snack,Greek yogurt with chia seeds,1 cup,180,10,15,5,3
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Mid-Morning Snack,Handful of nuts + 1 apple,1 handful + 1 apple,200,6,25,10,4
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Mid-Morning Snack,Paneer salad,1 small bowl,220,14,20,8,5
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Mid-Morning Snack,Hummus with whole wheat pita,1 serving,190,12,18,6,5
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Mid-Morning Snack,Banana with peanut butter,1 medium banana + 1 tbsp PB,210,8,22,4,6
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Lunch,"Dal, Brown rice, Curd, Salad",1 bowl,450,18,60,12,8
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Lunch,Multigrain roti + Soya chunk curry,2 rotis,480,20,65,14,7
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Lunch,Chickpea salad + Quinoa pulao,1 bowl,460,22,55,10,6
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Lunch,Vegetable stir-fry + Brown rice,1 plate,470,21,58,11,8
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Lunch,Millet khichdi + Yogurt,1 bowl,490,23,62,13,9
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Evening Snack,Green tea + Roasted makhana,1 cup + 1 handful,150,4,20,2,4
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Evening Snack,Fruit smoothie with almond milk,1 glass,200,8,35,5,5
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Evening Snack,Sprout chaat with lemon,1 bowl,180,6,25,3,4
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Evening Snack,Roasted chana + Buttermilk,1 handful + 1 glass,170,9,28,4,3
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Evening Snack,Fox nuts with black salt,1 handful,160,7,30,3,5
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Dinner,Vegetable soup + Stir-fried tofu,1 bowl,400,20,50,10,6
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Dinner,Moong dal khichdi + Steamed veggies,1 bowl,420,18,55,8,7
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Dinner,Grilled paneer + Buttermilk,2 pieces,410,22,48,12,6
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Dinner,Stuffed multigrain paratha,1 paratha,430,19,53,9,7
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Dinner,Bajra roti with curry,1 roti,440,21,57,11,8
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Pre-Bed Snack,Pumpkin seeds,2 tbsp,100,5,10,6,2
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Pre-Bed Snack,Warm turmeric milk,1 glass,120,8,15,4,3
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Pre-Bed Snack,Greek yogurt with cinnamon,1 small bowl,150,10,18,5,4
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Pre-Bed Snack,Almonds with dates,10 almonds + 2 dates,140,7,14,7,3
5,Weight Loss,35 - 39.9,Obesity Class 2,~2800-3100 kcal,Vegetarian,Pre-Bed Snack,Chamomile tea with flaxseeds,1 cup,130,6,12,3,2
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Breakfast,Oats with almond milk and flaxseeds,1 bowl,350,12,45,10,8
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Breakfast,Besan chilla with curd,2 cheelas,320,15,40,8,7
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Breakfast,Quinoa upma with veggies,1 bowl,310,10,42,6,6
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Breakfast,Moong dal dosa with chutney,2 small dosas,340,14,48,7,7
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Breakfast,Ragi porridge with nuts,1 bowl,360,16,50,9,9
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Mid-Morning Snack,Greek yogurt with chia seeds,1 cup,180,10,15,5,3
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Mid-Morning Snack,Handful of nuts + 1 apple,1 handful + 1 apple,200,6,25,10,4
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Mid-Morning Snack,Paneer salad,1 small bowl,220,14,20,8,5
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Mid-Morning Snack,Hummus with whole wheat pita,1 serving,190,12,18,6,5
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Mid-Morning Snack,Banana with peanut butter,1 medium banana + 1 tbsp PB,210,8,22,4,6
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Lunch,"Dal, Brown rice, Curd, Salad",1 bowl,450,18,60,12,8
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Lunch,Multigrain roti + Soya chunk curry,2 rotis,480,20,65,14,7
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Lunch,Chickpea salad + Quinoa pulao,1 bowl,460,22,55,10,6
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Lunch,Vegetable stir-fry + Brown rice,1 plate,470,21,58,11,8
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Lunch,Millet khichdi + Yogurt,1 bowl,490,23,62,13,9
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Evening Snack,Green tea + Roasted makhana,1 cup + 1 handful,150,4,20,2,4
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Evening Snack,Fruit smoothie with almond milk,1 glass,200,8,35,5,5
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Evening Snack,Sprout chaat with lemon,1 bowl,180,6,25,3,4
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Evening Snack,Roasted chana + Buttermilk,1 handful + 1 glass,170,9,28,4,3
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Evening Snack,Fox nuts with black salt,1 handful,160,7,30,3,5
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Dinner,Vegetable soup + Stir-fried tofu,1 bowl,400,20,50,10,6
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Dinner,Moong dal khichdi + Steamed veggies,1 bowl,420,18,55,8,7
6,Weight Loss,40+,Obesity Class 3,~3000-3300 kcal,Vegetarian,Dinner,Grilled paneer + Buttermilk,2 pieces,410,22,48,12,6
