Plan ID,BMI Range,BMI Category,Goal,Day,Exercise,Sets,Reps,Focus
2,18.5 – 24.13,Normal Weight,Powerlifting,Tuesday,Bench Press,5,5,"Heavy load, progressive overload"
2,18.5 – 24.14,Normal Weight,Powerlifting,Tuesday,Dumbbell Flys,4,4,Chest isolation
2,18.5 – 24.15,Normal Weight,Powerlifting,Tuesday,Bent-Over Rows,4,8,Back thickness
2,18.5 – 24.16,Normal Weight,Powerlifting,Tuesday,Tricep Dips,4,12,Bodyweight or weighted
2,18.5 – 24.17,Normal Weight,Powerlifting,Wednesday,Active Recovery,-,-,"Mobility, yoga"
2,18.5 – 24.18,Normal Weight,Powerlifting,Thursday,Deadlift,5,5,Heavy pulling focus
2,18.5 – 24.19,Normal Weight,Powerlifting,Thursday,Barbell Shrugs,4,10,Trap development
2,18.5 – 24.20,Normal Weight,Powerlifting,Thursday,Pull-Ups,4,Max,Bodyweight mastery
2,18.5 – 24.21,Normal Weight,Powerlifting,Thursday,Farmer’s Carry,4,30 sec hold,Grip & core strength
2,18.5 – 24.22,Normal Weight,Powerlifting,Friday,Overhead Press,4,6,Shoulder strength
2,18.5 – 24.23,Normal Weight,Powerlifting,Friday,Lateral Raises,4,12,Deltoid isolation
2,18.5 – 24.24,Normal Weight,Powerlifting,Friday,Core Circuit,3,Rounds,"Russian Twists, Planks, V-Ups"
2,18.5 – 24.25,Normal Weight,Powerlifting,Saturday / Sunday,Rest or Cardio,-,-,Optional moderate-intensity
3,25-29.9,Overweight,Powerlifting,Monday,Squat,5,5,Strength focus
3,25-29.9,Overweight,Powerlifting,Monday,Romanian Deadlift,4,8,Hamstring development
3,25-29.9,Overweight,Powerlifting,Monday,Leg Press,4,10,Quad and glute activation
3,25-29.9,Overweight,Powerlifting,Tuesday,Bench Press,5,5,Upper body strength
3,25-29.9,Overweight,Powerlifting,Tuesday,Incline Dumbbell Press,4,10,Chest hypertrophy
3,25-29.9,Overweight,Powerlifting,Tuesday,Barbell Rows,4,8,Back thickness
3,25-29.9,Overweight,Powerlifting,Wednesday,Rest/Active Recovery,-,-,Mobility and stretching
3,25-29.9,Overweight,Powerlifting,Thursday,Deadlift,5,5,Posterior chain strength
3,25-29.9,Overweight,Powerlifting,Thursday,Pull-Ups,4,Max,Upper body pulling strength
3,25-29.9,Overweight,Powerlifting,Thursday,Lunges,4,10,Leg endurance and stability
3,25-29.9,Overweight,Powerlifting,Friday,Overhead Press,4,8,Shoulder strength
3,25-29.9,Overweight,Powerlifting,Friday,Dips,4,Max,Triceps and chest engagement
3,25-29.9,Overweight,Powerlifting,Saturday,Full-Body Circuit,3,Rounds,Conditioning and endurance
3,25-29.9,Overweight,Powerlifting,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Monday,Squat,5,5,Strength focus
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Monday,Romanian Deadlift,4,8,Hamstring development
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Monday,Leg Press,4,10,Quad and glute activation
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Tuesday,Bench Press,5,5,Upper body strength
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Tuesday,Incline Dumbbell Press,4,10,Chest hypertrophy
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Tuesday,Barbell Rows,4,8,Back thickness
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Wednesday,Rest/Active Recovery,-,-,Mobility and stretching
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Thursday,Deadlift,5,5,Posterior chain strength
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Thursday,Pull-Ups,4,Max,Upper body pulling strength
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Thursday,Lunges,4,10,Leg endurance and stability
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Friday,Overhead Press,4,8,Shoulder strength
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Friday,Dips,4,Max,Triceps and chest engagement
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Saturday,Full-Body Circuit,3,Rounds,Conditioning and endurance
4,30-34.9,Obesity Class 1 (Moderate),Powerlifting,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Monday,Squat,5,5,Strength focus
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Monday,Romanian Deadlift,4,8,Hamstring development
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Monday,Leg Press,4,10,Quad and glute activation
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Tuesday,Bench Press,5,5,Upper body strength
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Tuesday,Incline Dumbbell Press,4,10,Chest hypertrophy
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Tuesday,Barbell Rows,4,8,Back thickness
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Wednesday,Rest/Active Recovery,-,-,Mobility and stretching
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Thursday,Deadlift,5,5,Posterior chain strength
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Thursday,Pull-Ups,4,Max,Upper body pulling strength
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Thursday,Lunges,4,10,Leg endurance and stability
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Friday,Overhead Press,4,8,Shoulder strength
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Friday,Dips,4,Max,Triceps and chest engagement
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Saturday,Full-Body Circuit,3,Rounds,Conditioning and endurance
5,35-39.9,Obesity Class 2 (Severe),Powerlifting,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Monday,Squat,5,5,Strength focus
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Monday,Romanian Deadlift,4,8,Hamstring development
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Monday,Leg Press,4,10,Quad and glute activation
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Tuesday,Bench Press,5,5,Upper body strength
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Tuesday,Incline Dumbbell Press,4,10,Chest hypertrophy
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Tuesday,Barbell Rows,4,8,Back thickness
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Wednesday,Rest/Active Recovery,-,-,Mobility and stretching
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Thursday,Deadlift,5,5,Posterior chain strength
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Thursday,Pull-Ups,4,Max,Upper body pulling strength
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Thursday,Lunges,4,10,Leg endurance and stability
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Friday,Overhead Press,4,8,Shoulder strength
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Friday,Dips,4,Max,Triceps and chest engagement
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Saturday,Full-Body Circuit,3,Rounds,Conditioning and endurance
6,40+,Obesity Class 3 (Very Severe),Powerlifting,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
7,<18.5,Underweight,Weight Loss,Monday,Treadmill Walk/Run,4,30 min,Cardio endurance
7,<18.5,Underweight,Weight Loss,Monday,Bodyweight Squats,4,15,Lower body activation
7,<18.5,Underweight,Weight Loss,Monday,Dumbbell Shoulder Press,3,12,Upper body strength
7,<18.5,Underweight,Weight Loss,Tuesday,Jump Rope,4,3 min rounds,Cardio conditioning
7,<18.5,Underweight,Weight Loss,Tuesday,Lunges,3,12,Leg endurance and toning
7,<18.5,Underweight,Weight Loss,Tuesday,Push-Ups,4,15,Upper body engagement
7,<18.5,Underweight,Weight Loss,Wednesday,Cycling,4,30 min,Cardio endurance
7,<18.5,Underweight,Weight Loss,Wednesday,Plank,4,1 min hold,Core stability
7,<18.5,Underweight,Weight Loss,Thursday,Rowing Machine,4,20 min,Full-body cardio
7,<18.5,Underweight,Weight Loss,Thursday,Deadlifts,3,8,Strength and fat burn
7,<18.5,Underweight,Weight Loss,Thursday,Russian Twists,4,20,Core rotation
7,<18.5,Underweight,Weight Loss,Friday,Burpees,4,12,Full-body conditioning
7,<18.5,Underweight,Weight Loss,Friday,Jump Squats,3,15,Leg power
7,<18.5,Underweight,Weight Loss,Friday,Dumbbell Rows,4,10,Back strength
7,<18.5,Underweight,Weight Loss,Saturday,Full-Body HIIT,3,Rounds,Fat-burning workout
7,<18.5,Underweight,Weight Loss,Sunday,Rest or Light Yoga,-,-,Recovery and flexibility
8,18.5-24.9,Normal Weight,Weight Loss,Monday,Treadmill Walk/Run,4,30 min,Cardio endurance
8,18.5-24.9,Normal Weight,Weight Loss,Monday,Bodyweight Squats,4,15,Lower body activation
8,18.5-24.9,Normal Weight,Weight Loss,Monday,Dumbbell Shoulder Press,3,12,Upper body strength
8,18.5-24.9,Normal Weight,Weight Loss,Tuesday,Jump Rope,4,3 min rounds,Cardio conditioning
8,18.5-24.9,Normal Weight,Weight Loss,Tuesday,Lunges,3,12,Leg endurance and toning
8,18.5-24.9,Normal Weight,Weight Loss,Tuesday,Push-Ups,4,15,Upper body engagement
8,18.5-24.9,Normal Weight,Weight Loss,Wednesday,Cycling,4,30 min,Cardio endurance
8,18.5-24.9,Normal Weight,Weight Loss,Wednesday,Plank,4,1 min hold,Core stability
8,18.5-24.9,Normal Weight,Weight Loss,Thursday,Rowing Machine,4,20 min,Full-body cardio
8,18.5-24.9,Normal Weight,Weight Loss,Thursday,Deadlifts,3,8,Strength and fat burn
8,18.5-24.9,Normal Weight,Weight Loss,Thursday,Russian Twists,4,20,Core rotation
8,18.5-24.9,Normal Weight,Weight Loss,Friday,Burpees,4,12,Full-body conditioning
8,18.5-24.9,Normal Weight,Weight Loss,Friday,Jump Squats,3,15,Leg power
8,18.5-24.9,Normal Weight,Weight Loss,Friday,Dumbbell Rows,4,10,Back strength
8,18.5-24.9,Normal Weight,Weight Loss,Saturday,Full-Body HIIT,3,Rounds,Fat-burning workout
8,18.5-24.9,Normal Weight,Weight Loss,Sunday,Rest or Light Yoga,-,-,Recovery and flexibility
9,25-29.9,Overweight,Weight Loss,Monday,Treadmill Walk/Run,4,30 min,Cardio endurance
9,25-29.9,Overweight,Weight Loss,Monday,Bodyweight Squats,4,15,Lower body activation
9,25-29.9,Overweight,Weight Loss,Monday,Dumbbell Shoulder Press,3,12,Upper body strength
9,25-29.9,Overweight,Weight Loss,Tuesday,Jump Rope,4,3 min rounds,Cardio conditioning
9,25-29.9,Overweight,Weight Loss,Tuesday,Lunges,3,12,Leg endurance and toning
9,25-29.9,Overweight,Weight Loss,Tuesday,Push-Ups,4,15,Upper body engagement
9,25-29.9,Overweight,Weight Loss,Wednesday,Cycling,4,30 min,Cardio endurance
9,25-29.9,Overweight,Weight Loss,Wednesday,Plank,4,1 min hold,Core stability
9,25-29.9,Overweight,Weight Loss,Thursday,Rowing Machine,4,20 min,Full-body cardio
9,25-29.9,Overweight,Weight Loss,Thursday,Deadlifts,3,8,Strength and fat burn
9,25-29.9,Overweight,Weight Loss,Thursday,Russian Twists,4,20,Core rotation
9,25-29.9,Overweight,Weight Loss,Friday,Burpees,4,12,Full-body conditioning
9,25-29.9,Overweight,Weight Loss,Friday,Jump Squats,3,15,Leg power
9,25-29.9,Overweight,Weight Loss,Friday,Dumbbell Rows,4,10,Back strength
9,25-29.9,Overweight,Weight Loss,Saturday,Full-Body HIIT,3,Rounds,Fat-burning workout
9,25-29.9,Overweight,Weight Loss,Sunday,Rest or Light Yoga,-,-,Recovery and flexibility
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Monday,Treadmill Walk/Run,4,30 min,Cardio endurance
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Monday,Bodyweight Squats,4,15,Lower body activation
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Monday,Dumbbell Shoulder Press,3,12,Upper body strength
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Tuesday,Jump Rope,4,3 min rounds,Cardio conditioning
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Tuesday,Lunges,3,12,Leg endurance and toning
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Tuesday,Push-Ups,4,15,Upper body engagement
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Wednesday,Cycling,4,30 min,Cardio endurance
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Wednesday,Plank,4,1 min hold,Core stability
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Thursday,Rowing Machine,4,20 min,Full-body cardio
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Thursday,Deadlifts,3,8,Strength and fat burn
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Thursday,Russian Twists,4,20,Core rotation
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Friday,Burpees,4,12,Full-body conditioning
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Friday,Jump Squats,3,15,Leg power
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Friday,Dumbbell Rows,4,10,Back strength
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Saturday,Full-Body HIIT,3,Rounds,Fat-burning workout
10,30-34.9,Obesity Class 1 (Moderate),Weight Loss,Sunday,Rest or Light Yoga,-,-,Recovery and flexibility
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Monday,Treadmill Walk/Run,4,30 min,Cardio endurance
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Monday,Bodyweight Squats,4,15,Lower body activation
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Monday,Dumbbell Shoulder Press,3,12,Upper body strength
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Tuesday,Jump Rope,4,3 min rounds,Cardio conditioning
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Tuesday,Lunges,3,12,Leg endurance and toning
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Tuesday,Push-Ups,4,15,Upper body engagement
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Wednesday,Cycling,4,30 min,Cardio endurance
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Wednesday,Plank,4,1 min hold,Core stability
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Thursday,Rowing Machine,4,20 min,Full-body cardio
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Thursday,Deadlifts,3,8,Strength and fat burn
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Thursday,Russian Twists,4,20,Core rotation
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Friday,Burpees,4,12,Full-body conditioning
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Friday,Jump Squats,3,15,Leg power
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Friday,Dumbbell Rows,4,10,Back strength
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Saturday,Full-Body HIIT,3,Rounds,Fat-burning workout
11,35-39.9,Obesity Class 2 (Severe),Weight Loss,Sunday,Rest or Light Yoga,-,-,Recovery and flexibility
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Monday,Treadmill Walk/Run,4,30 min,Cardio endurance
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Monday,Bodyweight Squats,4,15,Lower body activation
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Monday,Dumbbell Shoulder Press,3,12,Upper body strength
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Tuesday,Jump Rope,4,3 min rounds,Cardio conditioning
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Tuesday,Lunges,3,12,Leg endurance and toning
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Tuesday,Push-Ups,4,15,Upper body engagement
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Wednesday,Cycling,4,30 min,Cardio endurance
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Wednesday,Plank,4,1 min hold,Core stability
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Thursday,Rowing Machine,4,20 min,Full-body cardio
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Thursday,Deadlifts,3,8,Strength and fat burn
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Thursday,Russian Twists,4,20,Core rotation
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Friday,Burpees,4,12,Full-body conditioning
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Friday,Jump Squats,3,15,Leg power
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Friday,Dumbbell Rows,4,10,Back strength
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Saturday,Full-Body HIIT,3,Rounds,Fat-burning workout
12,40+,Obesity Class 3 (Very Severe),Weight Loss,Sunday,Rest or Light Yoga,-,-,Recovery and flexibility
13,<18.5,Underweight,Weight Gain,Monday,Squat,5,8,Leg and core strength
13,<18.5,Underweight,Weight Gain,Monday,Leg Press,4,12,Quad and hamstring hypertrophy
13,<18.5,Underweight,Weight Gain,Monday,Calf Raises,4,15,Lower leg development
13,<18.5,Underweight,Weight Gain,Tuesday,Bench Press,5,8,Upper body strength
13,<18.5,Underweight,Weight Gain,Tuesday,Incline Dumbbell Press,4,10,Chest and shoulder activation
13,<18.5,Underweight,Weight Gain,Tuesday,Triceps Dips,4,12,Arm hypertrophy
13,<18.5,Underweight,Weight Gain,Wednesday,Deadlift,5,6,Full-body strength and power
13,<18.5,Underweight,Weight Gain,Wednesday,Pull-Ups,4,Max,Upper back and biceps
13,<18.5,Underweight,Weight Gain,Wednesday,Face Pulls,4,15,Shoulder stability and growth
13,<18.5,Underweight,Weight Gain,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
13,<18.5,Underweight,Weight Gain,Friday,Overhead Press,4,8,Shoulder and triceps strength
13,<18.5,Underweight,Weight Gain,Friday,Barbell Rows,4,10,Back thickness and posture improvement
13,<18.5,Underweight,Weight Gain,Friday,Hammer Curls,4,12,Arm and grip strength
13,<18.5,Underweight,Weight Gain,Saturday,Full-Body Hypertrophy Circuit,3,Rounds,Muscle growth and endurance
13,<18.5,Underweight,Weight Gain,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
14,18.5-24.9,Normal Weight,Weight Gain,Monday,Squat,5,8,Leg and core strength
14,18.5-24.9,Normal Weight,Weight Gain,Monday,Leg Press,4,12,Quad and hamstring hypertrophy
14,18.5-24.9,Normal Weight,Weight Gain,Monday,Calf Raises,4,15,Lower leg development
14,18.5-24.9,Normal Weight,Weight Gain,Tuesday,Bench Press,5,8,Upper body strength
14,18.5-24.9,Normal Weight,Weight Gain,Tuesday,Incline Dumbbell Press,4,10,Chest and shoulder activation
14,18.5-24.9,Normal Weight,Weight Gain,Tuesday,Triceps Dips,4,12,Arm hypertrophy
14,18.5-24.9,Normal Weight,Weight Gain,Wednesday,Deadlift,5,6,Full-body strength and power
14,18.5-24.9,Normal Weight,Weight Gain,Wednesday,Pull-Ups,4,Max,Upper back and biceps
14,18.5-24.9,Normal Weight,Weight Gain,Wednesday,Face Pulls,4,15,Shoulder stability and growth
14,18.5-24.9,Normal Weight,Weight Gain,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
14,18.5-24.9,Normal Weight,Weight Gain,Friday,Overhead Press,4,8,Shoulder and triceps strength
14,18.5-24.9,Normal Weight,Weight Gain,Friday,Barbell Rows,4,10,Back thickness and posture improvement
14,18.5-24.9,Normal Weight,Weight Gain,Friday,Hammer Curls,4,12,Arm and grip strength
14,18.5-24.9,Normal Weight,Weight Gain,Saturday,Full-Body Hypertrophy Circuit,3,Rounds,Muscle growth and endurance
14,18.5-24.9,Normal Weight,Weight Gain,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
15,25-29.9,Overweight,Weight Gain,Monday,Squat,5,8,Leg and core strength
15,25-29.9,Overweight,Weight Gain,Monday,Leg Press,4,12,Quad and hamstring hypertrophy
15,25-29.9,Overweight,Weight Gain,Monday,Calf Raises,4,15,Lower leg development
15,25-29.9,Overweight,Weight Gain,Tuesday,Bench Press,5,8,Upper body strength
15,25-29.9,Overweight,Weight Gain,Tuesday,Incline Dumbbell Press,4,10,Chest and shoulder activation
15,25-29.9,Overweight,Weight Gain,Tuesday,Triceps Dips,4,12,Arm hypertrophy
15,25-29.9,Overweight,Weight Gain,Wednesday,Deadlift,5,6,Full-body strength and power
15,25-29.9,Overweight,Weight Gain,Wednesday,Pull-Ups,4,Max,Upper back and biceps
15,25-29.9,Overweight,Weight Gain,Wednesday,Face Pulls,4,15,Shoulder stability and growth
15,25-29.9,Overweight,Weight Gain,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
15,25-29.9,Overweight,Weight Gain,Friday,Overhead Press,4,8,Shoulder and triceps strength
15,25-29.9,Overweight,Weight Gain,Friday,Barbell Rows,4,10,Back thickness and posture improvement
15,25-29.9,Overweight,Weight Gain,Friday,Hammer Curls,4,12,Arm and grip strength
15,25-29.9,Overweight,Weight Gain,Saturday,Full-Body Hypertrophy Circuit,3,Rounds,Muscle growth and endurance
15,25-29.9,Overweight,Weight Gain,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Monday,Squat,5,8,Leg and core strength
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Monday,Leg Press,4,12,Quad and hamstring hypertrophy
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Monday,Calf Raises,4,15,Lower leg development
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Tuesday,Bench Press,5,8,Upper body strength
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Tuesday,Incline Dumbbell Press,4,10,Chest and shoulder activation
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Tuesday,Triceps Dips,4,12,Arm hypertrophy
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Wednesday,Deadlift,5,6,Full-body strength and power
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Wednesday,Pull-Ups,4,Max,Upper back and biceps
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Wednesday,Face Pulls,4,15,Shoulder stability and growth
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Friday,Overhead Press,4,8,Shoulder and triceps strength
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Friday,Barbell Rows,4,10,Back thickness and posture improvement
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Friday,Hammer Curls,4,12,Arm and grip strength
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Saturday,Full-Body Hypertrophy Circuit,3,Rounds,Muscle growth and endurance
16,30-34.9,Obesity Class 1 (Moderate),Weight Gain,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Monday,Squat,5,8,Leg and core strength
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Monday,Leg Press,4,12,Quad and hamstring hypertrophy
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Monday,Calf Raises,4,15,Lower leg development
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Tuesday,Bench Press,5,8,Upper body strength
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Tuesday,Incline Dumbbell Press,4,10,Chest and shoulder activation
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Tuesday,Triceps Dips,4,12,Arm hypertrophy
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Wednesday,Deadlift,5,6,Full-body strength and power
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Wednesday,Pull-Ups,4,Max,Upper back and biceps
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Wednesday,Face Pulls,4,15,Shoulder stability and growth
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Friday,Overhead Press,4,8,Shoulder and triceps strength
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Friday,Barbell Rows,4,10,Back thickness and posture improvement
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Friday,Hammer Curls,4,12,Arm and grip strength
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Saturday,Full-Body Hypertrophy Circuit,3,Rounds,Muscle growth and endurance
17,35-39.9,Obesity Class 2 (Severe),Weight Gain,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Monday,Squat,5,8,Leg and core strength
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Monday,Leg Press,4,12,Quad and hamstring hypertrophy
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Monday,Calf Raises,4,15,Lower leg development
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Tuesday,Bench Press,5,8,Upper body strength
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Tuesday,Incline Dumbbell Press,4,10,Chest and shoulder activation
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Tuesday,Triceps Dips,4,12,Arm hypertrophy
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Wednesday,Deadlift,5,6,Full-body strength and power
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Wednesday,Pull-Ups,4,Max,Upper back and biceps
